surgery_id,start_time,end_time
S00001,2025-01-01T00:00:00+00:00,2025-01-01T03:50:00+00:00
S00015,2025-01-01T00:00:00+00:00,2025-01-01T04:10:00+00:00
S00002,2025-01-01T04:10:00+00:00,2025-01-01T04:45:00+00:00
S00016,2025-01-01T05:40:00+00:00,2025-01-01T08:20:00+00:00
S00003,2025-01-01T06:45:00+00:00,2025-01-01T08:40:00+00:00
S00017,2025-01-01T09:00:00+00:00,2025-01-01T11:50:00+00:00
S00004,2025-01-01T09:20:00+00:00,2025-01-01T11:00:00+00:00
S00005,2025-01-01T11:25:00+00:00,2025-01-01T15:50:00+00:00
S00018,2025-01-01T13:25:00+00:00,2025-01-01T15:20:00+00:00
S00019,2025-01-01T15:25:00+00:00,2025-01-01T19:55:00+00:00
S00006,2025-01-01T16:10:00+00:00,2025-01-01T20:15:00+00:00
S00020,2025-01-01T20:25:00+00:00,2025-01-02T00:35:00+00:00
S00007,2025-01-01T22:15:00+00:00,2025-01-02T01:35:00+00:00
S00021,2025-01-02T01:45:00+00:00,2025-01-02T04:00:00+00:00
S00008,2025-01-02T01:50:00+00:00,2025-01-02T05:25:00+00:00
S00022,2025-01-02T04:45:00+00:00,2025-01-02T06:00:00+00:00
S00009,2025-01-02T06:35:00+00:00,2025-01-02T07:15:00+00:00
S00023,2025-01-02T06:35:00+00:00,2025-01-02T11:05:00+00:00
S00010,2025-01-02T07:20:00+00:00,2025-01-02T08:15:00+00:00
S00011,2025-01-02T08:50:00+00:00,2025-01-02T10:30:00+00:00
S00012,2025-01-02T11:55:00+00:00,2025-01-02T15:35:00+00:00
S00024,2025-01-02T12:00:00+00:00,2025-01-02T13:00:00+00:00
S00025,2025-01-02T13:15:00+00:00,2025-01-02T15:45:00+00:00
S00013,2025-01-02T15:40:00+00:00,2025-01-02T19:05:00+00:00
S00026,2025-01-02T16:05:00+00:00,2025-01-02T18:25:00+00:00
S00027,2025-01-02T19:25:00+00:00,2025-01-02T23:05:00+00:00
S00014,2025-01-02T19:40:00+00:00,2025-01-02T23:55:00+00:00
